month,anemone,zub,symb.status,target.temp.fac,avg.temp,prot.ug.anemone,symb.cells.anemone,symb.per.prot,totalchl.ug.anemone,totalchl.ug.symb,totalchl.ug.ugprot,nonsymb.pHi.med,symb.pHi.med,GP.umol.ug.hr,R.umol.ug.hr,host.13C.percent,symb.13C.percent,temp
May,18A,18,sym,27,26.92,156.8060088,814216.5085,5192.508341,1.013125,0.006461009,0.006461009,7.130992547,7.223905271,0.006696822,0.013130351,1.1127188,1.1318333,27.00
May,18B,18,sym,27,26.92,184.2833533,1420841.64,7710.09217,1.187604167,0.006444446,0.006444446,NA,NA,0.005866824,0.019484636,NA,NA,27.00
May,19A,19,sym,27,26.92,114.5974525,371976.7668,3245.942721,0.402708333,0.003514112,0.003514112,7.310665174,7.375581912,0.01942394,0.035203348,1.1103365,1.1305297,27.00
May,19B,19,sym,27,26.92,224.1385533,1414814.102,6312.230007,1.7040625,0.007602719,0.007602719,NA,NA,0.006530309,0.014572299,NA,NA,27.00
May,1A,1,apo,27,26.92,85.80430657,NA,NA,0,0,0,7.310798189,NA,-0.002509454,0.001625443,NA,NA,27.00
May,1B,1,apo,27,26.92,113.9932733,11349.88768,99.56629322,0,0,0,NA,NA,0.000153746,0.000626616,NA,NA,27.00
May,20A,20,sym,27,26.92,283.5590333,1036288.608,3654.578012,0.214791667,0.000757485,0.000757485,7.41517661,7.265109802,0.00187087,0.011969762,1.1108309,1.1314624,27.00
May,20B,20,sym,27,26.92,220.1864764,752907.165,3419.406937,0.606875,0.002756187,0.002756187,NA,NA,0.004283233,0.017425839,NA,NA,27.00
May,21A,21,sym,29,28.26,92.68281226,318693.1736,3438.53586,0.4090625,0.004413575,0.004413575,7.473984196,7.13312769,-3.81E-05,0.015628011,1.1066395,1.118034,29.00
May,21B,21,sym,29,28.26,215.8350719,437345.5612,2026.295159,0.698020833,0.003234047,0.003234047,NA,NA,0.001613009,0.002440975,NA,NA,29.00
May,22A,22,sym,29,28.26,163.2687933,756546.6127,4633.74903,0.389270833,0.002384233,0.002384233,7.548074013,7.369392365,2.84E-05,0.003136031,1.1110444,1.1242706,29.00
May,22B,22,sym,29,28.26,232.9812243,789942.6175,3390.584885,0.3765625,0.001616278,0.001616278,NA,NA,0.002545132,0.01312092,NA,NA,29.00
