Tank,date_time2,Date,Time,Status,day,month,Cohort,Zub_temp,Target.temp,meanTemp,Day
1,2022-02-02 18:00:00,2022-02-02,18:00:00,Symb,2,Feb,LD,22.9433696666667,25,24.6,3
1,2022-02-02 19:00:00,2022-02-02,19:00:00,Apo,2,Feb,LD,23.0137196666667,25,24.6,3
1,2022-02-02 19:00:00,2022-02-02,19:00:00,Symb,2,Feb,LD,22.8512196666667,25,24.6,3
1,2022-02-02 20:00:00,2022-02-02,20:00:00,Apo,2,Feb,LD,22.922378,25,24.6,3
1,2022-02-02 20:00:00,2022-02-02,20:00:00,Symb,2,Feb,LD,22.759878,25,24.6,3
1,2022-02-02 21:00:00,2022-02-02,21:00:00,Apo,2,Feb,LD,22.829528,25,24.6,3
1,2022-02-02 21:00:00,2022-02-02,21:00:00,Symb,2,Feb,LD,22.667028,25,24.6,3
1,2022-02-02 22:00:00,2022-02-02,22:00:00,Apo,2,Feb,LD,22.8535863333333,25,24.6,3
1,2022-02-02 22:00:00,2022-02-02,22:00:00,Symb,2,Feb,LD,22.6910863333333,25,24.6,3
1,2022-02-02 23:00:00,2022-02-02,23:00:00,Apo,2,Feb,LD,23.095253,25,24.6,3
1,2022-02-02 23:00:00,2022-02-02,23:00:00,Symb,2,Feb,LD,22.932753,25,24.6,3
1,2022-02-03 00:00:00,2022-02-03,00:00:00,Apo,3,Feb,LD,22.9644113333333,25,24.6,4
1,2022-02-03 00:00:00,2022-02-03,00:00:00,Symb,3,Feb,LD,22.8019113333333,25,24.6,4
1,2022-02-03 01:00:00,2022-02-03,01:00:00,Apo,3,Feb,LD,22.843928,25,24.6,4
1,2022-02-03 01:00:00,2022-02-03,01:00:00,Symb,3,Feb,LD,22.681428,25,24.6,4
1,2022-02-03 02:00:00,2022-02-03,02:00:00,Apo,3,Feb,LD,22.980003,25,24.6,4
1,2022-02-03 02:00:00,2022-02-03,02:00:00,Symb,3,Feb,LD,22.817503,25,24.6,4
